PubMed ID,allele,order ID,EMMA ID,comment
21706006,Cx3cr1<tm1Litt>,659,,Anna de Castro (user publications)
21677284,Igf1r<tm1.2Mhz>,966,,Anna de Castro (user publications)
21821709,Igf1r<tm1.2Mhz>,657,,Anna de Castro (user publications)
22733797,Igf1r<tm1.2Mhz>,966,,Anna de Castro (user publications)
21757544,Prnp<tm1Cwe>,662,,Anna de Castro (user publications)
22043908,Prnp<tm1Cwe>,689,,Anna de Castro (user publications)
19242475,Prnp<tm1Cwe>,1045,,Anna de Castro (user publications)
23487467,Prnp<tm1Cwe>,270,,Anna de Castro (user publications)
19855845,Prnp<tm1Cwe>,662,,Anna de Castro (user publications)
18815152,Prnp<tm1Cwe>,695,,Anna de Castro (user publications)
22529900,Prnp<tm1Cwe>,662,,Anna de Castro (user publications)
21559407,Prnp<tm1Cwe>,976,,from_bulk_email_Jan_2023
21559407,Prnp<tm1Cwe>,1654,,Anna de Castro (user publications)
21559407,Tg(Prnp)a20Cwe,1654,,Anna de Castro (user publications)
21980526,Prnp<tm1Cwe>,663,,Anna de Castro (user publications)
21980526,Tg(Prnp)a20Cwe,663,,Anna de Castro (user publications)
21795535,Th<tm1(cre)Te>,1705,,Anna de Castro (user publications)
23595734,Th<tm1(cre)Te>,1958,,Anna de Castro (user publications)
22167485,Tg(tetO-cre)LC1Bjd,248,,Anna de Castro (user publications)
24228806,Prkaa1<tm1Sbj>,1070,,Anna de Castro (user publications)
24228806,Prkaa2<tm1.1Vio>,1071,,Anna de Castro (user publications)
29912316,Prrt2<tm1a(KOMP)Wtsi>,6219,,Jo Aug 2018
29908641,Prmt1<tm1a(EUCOMM)Wtsi>,2889,,Jo Aug 2018
29809170,Tff1<tm1a(EUCOMM)Wtsi>,5892,,Jo Aug 2018
29910804,Il23r<tm2a(EUCOMM)Wtsi>,5184,,Jo Aug 2018
29859945,Aldh1b1<tm2a(EUCOMM)Wtsi>,5806,,Jo Aug 2018
29751817,Tcf7l2<tm1a(EUCOMM)Wtsi>,4511,,Jo Aug 2018
29317263,Ripk4<tm1a(EUCOMM)Wtsi>,4431,,Jo Aug 2018
29892051,Slc25a4<tm1a(EUCOMM)Wtsi>,4185,,Jo Aug 2018
29054595,Naaa<tm1a(KOMP)Wtsi>,5604,,Jo Aug 2018
30062795,Cyba<tm1a(EUCOMM)Wtsi>,8799,,Jo Aug 2018
30062795,Ncf2<tm1a(EUCOMM)Wtsi>,8801,,Jo Aug 2018
30054395,Prmt8<tm1a(EUCOMM)Wtsi>,7023,,Jo Aug 2018
30093633,Dlg2<tm1a(EUCOMM)Wtsi>,3944,,Jo Aug 2018
30046110,Mad2l2<tm1a(EUCOMM)Wtsi>,5646,,Jo Aug 2018
30061742,Fbxo47<tm1a(EUCOMM)Wtsi>,6314,,Jo Aug 2018
27701470,Rbfox3<tm1a(EUCOMM)Hmgu>,4813,,Janet Nov 16
26740663,Nptn<tm1a(EUCOMM)Hmgu>,5393,,Janet Nov 16
